Story Heading,Story Excerpt,Timestamp,Section
,,,
,,,
,,,
,,,
Pakistan,Hina Jilani shuts down Aurat March naysayers in the best possible way,"About the LHC petition calling for its ban, she said, ""These are just dirty minds that find obscenity in everything.""","28 Feb, 2020 01:00pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,CM orders evacuation as death toll from toxic gas in Karachi's Keamari area rises to 7,KC says a ship offloading soybean could be the cause; Sepa suspects toxic gas may have leaked from an oil storage unit.,"18 Feb, 2020 11:56am"
,,,
,,,
,,,
,,,
Pakistan,"Prime Minister Imran takes exception to Fazl’s remarks, invokes treason law","PM says Tareen, Khusro not involved in sugar, wheat crises; Shahbaz slams Imran’s statement about JUI-F chief.","15 Feb, 2020 07:32am"
Newspaper,"India relaxes fiscal deficit target, cuts taxes to spur growth",Finance Minister Nirmala Sitharaman announces the changes as part of the country’s annual budget in parliament.,"02 Feb, 2020 08:47am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
World,Trump takes impeachment victory lap over 'vicious' Democrats,"US president says he was ""put through a terrible ordeal"" by ""vicious"" Democrats.","07 Feb, 2020 07:51pm"
,,,
,,,
,International snowboarding competition kicks off in Malam Jabba,Participants gathered in SWAT for a week of fun and games.,"20 Feb, 2020 12:12pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,SC will not take up implementation of its Karachi law and order verdict today,"Owing to shortage of time, SC bench headed by CJP unable to take up law & order case; no new hearing date announced.","07 Feb, 2020 01:11pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Polio cases tally hits 2017 figure on 36th day of 2020,"So far this year, eight cases have been detected across the country.","06 Feb, 2020 08:24am"
,,,
,,,
Sport,Chinese gymnasts pull out of World Cup in Australia due to virus travel ban,The restrictions on foreign nationals travelling from China have been extended for another week.,"15 Feb, 2020 01:28pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Public safety commission okays annual policing plan for Sindh,The IGP presents a list of 23 police officers against whom he had recommended a probe last year.,"09 Feb, 2020 09:49am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,"2019 was tough for journalists, politicians, activists: report","Throughout 2019, Pemra remained busy in issuing “advisories, directives, show cause” notices to private TV channels.","24 Feb, 2020 08:18am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Govt cites anti-terror operation as model for future actions,"149,000 intelligence-based operations conducted, 3,800 threat warnings issued and 400 terror attacks averted in RuF.","22 Feb, 2020 07:47am"
,,,
,,,
,,,
